Key,en,es,ar,fr
Add Hospital Department,Add Hospital Department,Agregar departamento hospitalario,إضافة قسم المستشفى,Ajouter un service hospitalier
Department List,Department List,Lista de departamentos,قائمة الأقسام,Liste des départements
Department Name,Department Name,Nombre del departamento,اسم القسم,Nom du département
Save,Save,Ahorrar,يحفظ,Sauvegarder
Department Edit,Department Edit,Departamento Editar,تحرير القسم,Département Modifier
Update Hospital Department,Update Hospital Department,Actualizar Departamento Hospitalario,تحديث قسم المستشفى,Mettre à jour le service hospitalier
Branch List,Branch List,Lista de sucursales,قائمة الفروع,Liste des succursales
Add Hospital branch,Add Hospital branch,Agregar sucursal del hospital,إضافة فرع المستشفى,Ajouter une succursale d'hôpital
Edit Hospital branch,Edit Hospital branch,Editar sucursal del hospital,تحرير فرع المستشفى,Modifier la branche de l'hôpital
Departments,Departments,Departamentos,الأقسام,Départements
Add Branch,Add Branch,Agregar sucursal,إضافة فرع,Ajouter une succursale
Add Doctor,Add Doctor,Agregar médico,أضف دكتور,Ajouter un médecin
Doctor Img,Doctor Img,Médico Img,دكتور ايمج,Docteur img
Select Departments,Select Departments,Seleccionar Departamentos,اختر الأقسام,Sélectionnez les départements
Doctor Title,Doctor Title,Título del médico,لقب دكتور,Titre du docteur
Doctor Qualification,Doctor Qualification,Calificación del médico,مؤهل الطبيب,Diplôme de docteur
Doctor Specialty,Doctor Specialty,Especialidad Médica,تخصص دكتور,Spécialité Docteur
Language Spoken,Language Spoken,Idioma hablado,اللغة المنطوقة,Langue parlée
Doctor Designation,Doctor Designation,Designación del médico,تعيين الطبيب,Désignation du médecin
Doctor Contact,Doctor Contact,Contacto médico,الاتصال بالطبيب,Contact Médecin
Doctor Off Days,Doctor Off Days,Días libres del médico,أيام عطلة الطبيب,Jours de congé du médecin
Doctor Floor Number,Doctor Floor Number,Número de piso del médico,رقم طابق الطبيب,Numéro d'étage du médecin
Doctor Room Number,Doctor Room Number,Número de habitación del médico,رقم غرفة الطبيب,Numéro de chambre du médecin
Doctor Address,Doctor Address,Dirección del médico,عنوان الطبيب,Adresse du médecin
Schedule Booking,Schedule Booking,Agendar Reserva,جدولة الحجز,Planifier la réservation
Day,Day,Día,يوم,Jour
Max Patient,Max Patient,Paciente máximo,ماكس المريض,Patient maximum
Save Doctor,Save Doctor,salvar doctor,أنقذ الطبيب,Sauver le docteur
Add Schedule,Add Schedule,Agregar horario,إضافة الجدول الزمني,Ajouter un horaire
Investigation List,Investigation List,Lista de investigación,قائمة التحقيق,Liste d'enquête
Hospital Investigation,Hospital Investigation,Investigación hospitalaria,تحقيقات المستشفى,Enquête à l'hôpital
Add Hospital Investigation,Add Hospital Investigation,Agregar investigación hospitalaria,إضافة تحقيق المستشفى,Ajouter une enquête hospitalière
Regular Price,Regular Price,Precio Regular,السعر العادي,Prix ​​régulier
Offer Price,Offer Price,Precio de oferta,سعر العرض,Prix ​​de l'offre
Health Package List ,Health Package List ,Lista de paquetes de salud ,قائمة الحزمة الصحية ,Liste des forfaits santé 
Hospital Health Package List,Hospital Health Package List,Lista de paquetes de salud hospitalaria,قائمة الحزمة الصحية للمستشفى,Liste des forfaits de santé hospitaliers
Add Hospital Health Package,Add Hospital Health Package,Agregar paquete de salud hospitalaria,إضافة الحزمة الصحية للمستشفى,Ajouter un forfait santé hospitalier
Package Name,Package Name,Nombre del paquete,اسم الحزمة,Nom du paquet
Package Title,Package Title,Título del paquete,عنوان الحزمة,Titre du paquet
Package description,Package description,Descripción del paquete,وصف الحزمة,Descriptif du forfait
Add Tickets,Add Tickets,Agregar entradas,أضف التذاكر,Ajouter des billets
Conversation,Conversation,Conversación,محادثة,Conversation
Hospital Care,Hospital Care,Atención hospitalaria,رعاية المستشفى,Soins hospitaliers
All Hospitals,All Hospitals,Todos los hospitales,جميع المستشفيات,Tous les hôpitaux
Email To Hospitals,Email To Hospitals,Correo electrónico a hospitales,البريد الإلكتروني للمستشفيات,Courriel aux hôpitaux
Banned Hospitals,Banned Hospitals,Hospitales prohibidos,المستشفيات المحظورة,Hôpitaux interdits
System Maintenance,System Maintenance,Mantenimiento del sistema,صيانة النظام,Entretien du système
Hospital Section,Hospital Section,Sección Hospitalaria,قسم المستشفى,Section Hôpital
Requirements Section,Requirements Section,Sección de requisitos,قسم المتطلبات,Section des exigences
Home,Home,Hogar,بيت,Maison
Blog,Blog,Blog,مدونة,Blogue
Booking ID,Booking ID,ID de reserva,معرف الحجز,Numéro de réservation
Status,Status,Estado,حالة,Statut
Find Parlour ,Find Parlour ,encontrar salón ,ابحث عن صالة الاستقبال ,Trouver un salon 
Google Authenticator,Google Authenticator,Autenticador de Google,أداة مصادقة جوجل,Authentificateur Google
Two Factor Authenticator,Two Factor Authenticator,Autenticador de dos factores,عامل المصادقة الثنائية,Authentificateur à deux facteurs
Download Google Authenticator App,Download Google Authenticator App,Descargue la aplicación Google Authenticator,تنزيل تطبيق Google Authenticator,Téléchargez l'application Google Authenticator
How to setup,How to setup,Cómo configurar,كيفية الإعداد,Comment configurer
Download For IOS,Download For IOS,Descargar para IOS,تحميل لنظام IOS,Télécharger pour IOS
Total Service,Total Service,Servicio total,الخدمة الشاملة,Service total
Booking Request,Booking Request,Solicitud de reserva,طلب الحجز,Demande de réservation
Booking Details,Booking Details,Detalles de la reserva,تفاصيل الحجز,Détails de la réservation
Withdraw Money,Withdraw Money,Retirar dinero,سحب الأموال,Retirer de l'argent
Total Payable Amount,Total Payable Amount,Monto total a pagar,إجمالي المبلغ المستحق,Montant total à payer
Latest Withdraw Money,Latest Withdraw Money,Último retiro de dinero,أحدث سحب الأموال,Dernier retrait d'argent
View More,View More,Ver más,عرض المزيد,Voir plus
Add Department,Add Department,Agregar departamento,إضافة قسم,Ajouter un département
Date,Date,Fecha,تاريخ,Date
Department Add,Department Add,Agregar departamento,إضافة القسم,Département Ajouter
Branch Name,Branch Name,Nombre de la sucursal,اسم الفرع,Nom de la succursale
Add Investigation,Add Investigation,Agregar investigación,إضافة التحقيق,Ajouter une enquête
Price,Price,Precio,سعر,Prix
Doctor Add,Doctor Add,Médico Agregar,إضافة دكتور,Docteur Ajouter
From Time,From Time,Del tiempo,من الزمن,Du temps
To Time,To Time,Al tiempo,إلى الوقت,Au temps
Add Health Package,Add Health Package,Agregar paquete de salud,إضافة الباقة الصحية,Ajouter un forfait santé
Freeze,Freeze,Congelar,تجميد,Geler
Health Package Edit,Health Package Edit,Paquete de salud Editar,تحرير الحزمة الصحية,Forfait Santé Modifier
Edit Hospital Health Package,Edit Hospital Health Package,Editar paquete de salud hospitalaria,تحرير الحزمة الصحية للمستشفى,Modifier le forfait santé hospitalier
KYC-Status,KYC-Status,Estado KYC,حالة KYC,Statut KYC
KYC Verification,KYC Verification,Verificación KYC,التحقق من KYC,Vérification KYC
How can we help you?,How can we help you?,¿Cómo podemos ayudarte?,كيف يمكننا مساعدتك؟,Comment pouvons-nous vous aider ?
Make Appointment,Make Appointment,Hacer cita,تحديد موعد,Prendre rendez-vous
Make Schedule,Make Schedule,Hacer horario,جعل الجدول الزمني,Faire un planning
Enter Gender,Enter Gender,Ingrese el género,أدخل الجنس,Entrez le sexe
Enter Age,Enter Age,Ingrese la edad,أدخل العمر,Entrez l'âge
Available Schedule Date,Available Schedule Date,Fecha de programación disponible,تاريخ الجدول الزمني المتاح,Date d'horaire disponible
Your Message,Your Message,Tu mensaje,رسالتك,Votre message
Proceed Now,Proceed Now,Continuar ahora,تابع الآن,Continuer maintenant
Report,Report,Informe,تقرير,Rapport
Followup,Followup,Hacer un seguimiento,متابعة,Suivi
Year,Year,Año,سنة,Année
Month,Month,Mes,شهر,Mois
Appointment Preview,Appointment Preview,Vista previa de la cita,معاينة الموعد,Aperçu du rendez-vous
DOCTOR NAME,DOCTOR NAME,NOMBRE DEL DOCTOR,اسم الطبيب,NOM DU MÉDECIN
SPECIALITY,SPECIALITY,ESPECIALIDAD,التخصص,SPÉCIALITÉ
SCHEDULE,SCHEDULE,CRONOGRAMA,جدول,CALENDRIER
MOBILE,MOBILE,MÓVIL,متحرك,MOBILE
EMAIL,EMAIL,CORREO ELECTRÓNICO,بريد إلكتروني,E-MAIL
DOCTOR FEES,DOCTOR FEES,HONORARIOS DEL MEDICO,أتعاب الطبيب,HONORAIRES DU MÉDECIN
FEES & CHARGES ,FEES & CHARGES ,TARIFAS Y CARGOS ,الرسوم والمصاريف ,FRAIS ET FRAIS 
PAYABLE AMOUNT,PAYABLE AMOUNT,CANTIDAD A PAGAR,المبلغ المستحق,MONTANT À PAYER
Select Payment Method,Select Payment Method,Seleccione método de pago,حدد طريقة الدفع,Sélectionnez le mode de paiement
Cash Payment,Cash Payment,Pago al contado,الدفع النقدي,Paiement en espèces
Online Payment,Online Payment,Pago en línea,الدفع عبر الإنترنت,Paiement en ligne
Confirm Appointment,Confirm Appointment,Confirmar cita,تأكيد الموعد,Confirmer rendez-vous
Home Service Request,Home Service Request,Solicitud de servicio a domicilio,طلب خدمة منزلية,Demande de service à domicile
Setup department,Setup department,Departamento de configuración,قسم الإعداد,Département d'installation
Setup Branch,Setup Branch,Rama de configuración,فرع الإعداد,Branche de configuration
appLFeesAndCharges,Fees & Charges,Tarifas y cargos,الرسوم والمصاريف,Frais et charges
appLFromGallery,From Gallery,De la galería,من المعرض,De la galerie
appLFromCamera,From Camera,Desde la cámara,من الكاميرا,Depuis la caméra
appLHome,Home,Hogar,بيت,Maison
appLYouCanResend,You Can Resend,Puedes reenviar,يمكنك إعادة الإرسال,Vous pouvez renvoyer
appLResend,Resend,Reenviar,إعادة الإرسال,Renvoyer
appLHide,Hide,Esconder,يخفي,Cacher
appLError,Error,Error,خطأ,Erreur
appLOnboardTextContent,Efficiently manage doctor profiles and patient bookings everything in one organized space.,"Administre de manera eficiente los perfiles de médicos y las reservas de pacientes, todo en un espacio organizado.",قم بإدارة ملفات تعريف الأطباء وحجوزات المرضى بكفاءة، كل شيء في مكان واحد منظم.,Gérez efficacement les profils des médecins et les réservations des patients dans un seul espace organisé.
appLResubmit,Resubmit,Reenviar,إعادة الإرسال,Soumettre à nouveau
appLKycInformation,Kyc Information,Información Kyc,معلومات كيك,Informations KYC
appLNoDataFound,No Data Found,No se encontraron datos,لم يتم العثور على بيانات,Aucune donnée trouvée
appLConfirmation,Confirmation,Confirmación,تأكيد,Confirmation
appLDescription,Description,Descripción,وصف,Description
appLProofOfIdentity,Proof Of Identity,Documentos de identidad,إثبات الهوية,Preuve d'identité
appLTwoFactorAuthorization,Two Factor Authorization,Autorización de dos factores,إذن عاملين,Autorisation à deux facteurs
appLPleaseEnterYourAuthorizationCode,Please Enter Your Authorization Code,Por favor ingrese su código de autorización,الرجاء إدخال رمز التفويض الخاص بك,Veuillez entrer votre code d'autorisation
appLCompare,Compare,Comparar,يقارن,Comparer
appLSkipNow,Skip Now,Saltar ahora,تخطي الآن,Passer maintenant
appLSend,Send,Enviar,يرسل,Envoyer
appLTRXID,TRX ID,Identificación TRX,معرف تي آر إكس,ID TRX
appLUpload,Upload,Subir,رفع,Télécharger
appLSubmitValidDocuments,Submit Valid Documents,Presentar documentos válidos,تقديم المستندات الصالحة,Soumettre des documents valides
appLUnverified,Unverified,Inconfirmado,لم يتم التحقق منها,Non vérifié
appLEnableTwoFaSecurity,Enable Two Fa Security,Habilitar la seguridad de Two Fa,تمكين اثنين من الأمن فا,Activer la sécurité bifa
appLBlogs,Blogs,Blogs,مدونات,Blogues
appLVerified,Verified,Verificado,تم التحقق منه,Vérifié
appLWellAskFor,for enhanced account security and protection.,para mejorar la seguridad y protección de la cuenta.,لتعزيز أمان الحساب وحمايته.,pour une sécurité et une protection améliorées du compte.
appLLogIn,Login,Acceso,تسجيل الدخول,Se connecter
appLLogInNow,Login Now,Iniciar sesión ahora,تسجيل الدخول الآن,Connectez-vous maintenant
appLSuccessMSG,Transaction success! Please wait for confirmation,¡Éxito de la transacción! Por favor espere la confirmación,نجاح الصفقة! يرجى الانتظار للتأكيد,Transaction réussie ! Veuillez attendre la confirmation
appLPassword,Password,Contraseña,كلمة المرور,Mot de passe
appLEmailAddress,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني,Adresse email
appLSubmit,Submit,Entregar,يُقدِّم,Soumettre
appLPleaseSubmitYourKyc,Please Submit Your Kyc,Por favor envíe su Kyc,يرجى إرسال Kyc الخاص بك,Veuillez soumettre votre Kyc
appLNewPassword,New Password,Nueva contraseña,كلمة المرور الجديدة,Nouveau mot de passe
appLConfirmPassword,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور,Confirmez le mot de passe
appLResetPassword,Reset Password,Restablecer contraseña,إعادة تعيين كلمة المرور,Réinitialiser le mot de passe
appLFirstName,First Name,Nombre de pila,الاسم الأول,Prénom
appLHospitalName,Hospital Name,Nombre del hospital,اسم المستشفى,Nom de l'hôpital
appLViewMore,View More,Ver más,عرض المزيد,Voir plus
appLLatestWithdraw,Latest Withdraw,Último retiro,أحدث الانسحاب,Dernier retrait
appLConfirm,Confirm,Confirmar,يتأكد,Confirmer
appLEmail,Email,Correo electrónico,بريد إلكتروني,E-mail
appLEnable,Enable,Permitir,يُمكَِن,Activer
appLDisable,Disable,Desactivar,إبطال,Désactiver
appLTextCopy,Text Copy,Copia de texto,نسخة النص,Copie de texte
appLAlreadyHaveAn,Already Have An Account?,¿Ya tienes una cuenta?,هل لديك حساب بالفعل؟,Vous avez déjà un compte ?
appLForgotPassword,Forgot Password,Has olvidado tu contraseña,هل نسيت كلمة السر,Mot de passe oublié
appLReset,Reset,Reiniciar,إعادة ضبط,Réinitialiser
appLRememberMe,Remember Me,Acuérdate de mí,تذكرنى,Souviens-toi de moi
appLJoinAsHospital,Join as Hospital,Unirse como Hospital,انضم كمستشفى,Rejoindre en tant qu'hôpital
appLBecomeAPart,lease input your details and register to your account to get access to your dashboard.,Ingrese sus datos y regístrese en su cuenta para obtener acceso a su panel de control.,قم بإدخال التفاصيل الخاصة بك وقم بالتسجيل في حسابك لتتمكن من الوصول إلى لوحة التحكم الخاصة بك.,Saisissez vos coordonnées et inscrivez-vous à votre compte pour accéder à votre tableau de bord.
appLLogInAndStay,Login Information,Información de inicio de sesión,معلومات تسجيل الدخول,Informations de connexion
appLOurSecureLogIn,Our Secure LogIn,Nuestro inicio de sesión seguro,تسجيل الدخول الآمن الخاص بنا,Notre connexion sécurisée
appLResetYourForgotten,Reset Your Forgotten Password?,¿Restablecer su contraseña olvidada?,إعادة تعيين كلمة المرور المنسية؟,Réinitialiser votre mot de passe oublié ?
appLTakeControl,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,Tome el control de su cuenta restableciendo su contraseña. Nuestra página de recuperación de contraseña lo guía a través de los pasos necesarios para restablecer su contraseña de forma segura.,السيطرة على حسابك عن طريق إعادة تعيين كلمة المرور الخاصة بك. ترشدك صفحة استعادة كلمة المرور الخاصة بنا إلى الخطوات اللازمة لإعادة تعيين كلمة المرور الخاصة بك بشكل آمن.,Prenez le contrôle de votre compte en réinitialisant votre mot de passe. Notre page de récupération de mot de passe vous guide à travers les étapes nécessaires pour réinitialiser votre mot de passe en toute sécurité.
appLPleaseEnterTheCode,Please Enter The Code,Por favor ingrese el código,الرجاء إدخال الرمز,Veuillez entrer le code
appLEnterTheOtpVerification,Please EnterThe Otp Verification,Por favor ingrese la verificación OTP,الرجاء إدخال التحقق من Otp,Veuillez saisir la vérification Otp
appLNowYouAreAble,Now you are able to reset your password.,Ahora puedes restablecer tu contraseña.,الآن أنت قادر على إعادة تعيين كلمة المرور الخاصة بك.,Vous pouvez maintenant réinitialiser votre mot de passe.
appLRegisterNow,Register Now,Regístrese ahora,سجل الآن,Inscrivez-vous maintenant
appLRegister,Register,Registro,يسجل,Registre
appLPending,Pending,Pendiente,قيد الانتظار,En attente
appLNewTo,New To,nuevo en,جديد ل,Nouveau à
appLSendOtp,Send Otp,Enviar OTP,إرسال مكتب المدعي العام,Envoyer OTP
appLTermsOfUse,Terms OfUse,Condiciones de uso,شروط الاستخدام,Conditions d'utilisation
appLPrivacyPolicy,Privacy Policy,política de privacidad,سياسة الخصوصية,politique de confidentialité
appLCountry,Country,País,دولة,Pays
appLAddress,Address,DIRECCIÓN,عنوان,Adresse
appLGetWay,GetWay,GetWay,GetWay,GetWay
appLAgreeToTerms,Agree To Terms,Aceptar los términos,الموافقة على الشروط,Accepter les conditions
appLPersonalAccount,Personal Account,Cuenta personal,الحساب الشخصي,Compte personnel
appLBusinessAccount,Business Account,Cuenta comercial,حساب الأعمال,Compte professionnel
appLSettings,Settings,Ajustes,إعدادات,Paramètres
appLManageKyc2fa,Manage and customize your app preferences,Administre y personalice las preferencias de su aplicación,إدارة وتخصيص تفضيلات التطبيق الخاص بك,Gérez et personnalisez les préférences de votre application
appLHelpCenter,Help Center,Centro de ayuda,مركز المساعدة,Centre d'aide
appLGetSupportAnd,Get Support And,Obtenga soporte y,احصل على الدعم و,Obtenez de l'aide et
appLLogOut,LogOut,Cerrar sesión,تسجيل الخروج,Déconnexion
appLReviewOurPrivacy,Review Our Privacy,Revise nuestra privacidad,قم بمراجعة خصوصيتنا,Consultez notre confidentialité
appLLearnAboutOur,Learn About Our,Conozca nuestro,تعرف على موقعنا,En savoir plus sur notre
appLAboutUs,About Us,Sobre nosotros,معلومات عنا,À propos de nous
appLServerError,ServerError,Error del servidor,خطأ في الخادم,Erreur de serveur
appLSuccess,Success,Éxito,نجاح,Succès
appLType,Type,Tipo,يكتب,Taper
appLStatus,Status,Estado,حالة,Statut
appLCity,City,Ciudad,مدينة,Ville
appLGeneral,General,General,عام,Général
appLGallery,Gallery,Galería,معرض,Galerie
appLOthers,Others,Otros,آحرون,Autres
appLGalleryDetails,Gallery Details,Detalles de la galería,تفاصيل المعرض,Détails de la galerie
appLBlogsDetails,Explore insightful articles and updates tailored to your interests.,Explore artículos interesantes y actualizaciones adaptadas a sus intereses.,استكشف المقالات والتحديثات الثاقبة المصممة خصيصًا لتناسب اهتماماتك.,Explorez des articles perspicaces et des mises à jour adaptées à vos intérêts.
appLCompareDetails,Compare Details,Comparar detalles,مقارنة التفاصيل,Comparer les détails
appLJoin,Join,Unirse,ينضم,Rejoindre
appLLogOutAlert,Log Out Alert,Alerta de cierre de sesión,تنبيه تسجيل الخروج,Alerte de déconnexion
appLLogOutNote,Are you sure you want to log out?You’ll need to log back in to continue your session,¿Está seguro de que desea cerrar sesión? Deberá volver a iniciar sesión para continuar con su sesión.,هل أنت متأكد من أنك تريد تسجيل الخروج؟ ستحتاج إلى تسجيل الدخول مرة أخرى لمواصلة جلستك,Etes-vous sûr de vouloir vous déconnecter ? Vous devrez vous reconnecter pour continuer votre session.
appLState,State,Estado,ولاية,État
appLZipCode,Zip Code,Código postal,الرمز البريدي,Code postal
appLPhone,Phone,Teléfono,هاتف,Téléphone
appLUpdate,Update,Actualizar,تحديث,Mise à jour
appLChangePassword,Change Password,Cambiar la contraseña,تغيير كلمة المرور,Changer le mot de passe
appLOldPassword,Old Password,Contraseña anterior,كلمة المرور القديمة,Ancien mot de passe
appLDeleteAccount,Delete Account,Eliminar cuenta,حذف الحساب,Supprimer le compte
appLDeleteAccountAlert,Delete Account.?,Eliminar cuenta.?,حذف الحساب.؟,Supprimer le compte.?
appLAreYouSureToLogout,Are you sure to Logout?,¿Está seguro de cerrar sesión?,هل أنت متأكد من تسجيل الخروج؟,Êtes-vous sûr de vous déconnecter ?
appLDeleteAccountNote,Are you sure to delete your account?,¿Estás seguro de eliminar tu cuenta?,هل أنت متأكد من حذف حسابك؟,Êtes-vous sûr de supprimer votre compte ?
appLNotifications,Notifications,Notificaciones,إشعارات,Notifications
appLNoData,No Data,Sin datos,لا توجد بيانات,Aucune donnée
appLNoProperty,No Property,Sin propiedad,لا الملكية,Aucune propriété
appLRestart,Restart,Reanudar,إعادة تشغيل,Redémarrage
appLHospitalBranch,Hospital Branch,Sucursal Hospitalaria,فرع المستشفى,Branche de l'hôpital
appLEnteredAmount,Entered Amount,Monto ingresado,المبلغ المدخل,Montant saisi
appLTotalFeesANdCharge,Total Fees & Charges,Tarifas y cargos totales,إجمالي الرسوم والمصاريف,Total des frais et charges
appLReject,Reject,Rechazar,يرفض,Rejeter
appLMore,More,Más,أكثر,Plus
appLKyc,KYC,KYC,اعرف عميلك,KYC
appLCategory,Category,Categoría,فئة,Catégorie
appLSelectGateway,Select Gateways,Seleccionar puertas de enlace,حدد البوابات,Sélectionnez les passerelles
appLSelectCountry,Select Country,Seleccionar país,اختر البلد,Sélectionnez un pays
appLSelectBranch,Select Branch,Seleccionar Sucursal,حدد الفرع,Sélectionnez une succursale
appLHealth,Health,Salud,صحة,Santé
appLHealthPackage,Health Package,Paquete de salud,الحزمة الصحية,Forfait Santé
appLLanguage,Language,Idioma,لغة,Langue
appLLanguageSpoken,Language Spoken,Idioma hablado,اللغة المنطوقة,Langue parlée
appLHospitalDepartment,Hospital Department,Departamento hospitalario,قسم المستشفى,Département hospitalier
appLName,Name,Nombre,اسم,Nom
appLSave,Save,Ahorrar,يحفظ,Sauvegarder
appLDelete,Delete,Borrar,يمسح,Supprimer
appLEnter,Enter,Ingresar,يدخل,Entrer
appLEditDoctor,Edit Doctor,Editar médico,تحرير الطبيب,Modifier Docteur
appLAddHealthPackage,Add Health Package,Agregar paquete de salud,إضافة الباقة الصحية,Ajouter un forfait santé
appLAddNewbrance,Add New Branch,Agregar nueva sucursal,إضافة فرع جديد,Ajouter une nouvelle branche
appLAreYouSureDelete,Are You Sure Delete,¿Estás seguro de eliminar?,هل أنت متأكد من حذف,Êtes-vous sûr de supprimer
appLEditHealthPackage,Edit Hospital Health Package,Editar paquete de salud hospitalaria,تحرير الحزمة الصحية للمستشفى,Modifier le forfait santé hospitalier
appLAddHospitalInvestigation,Add Hospital Investigation,Agregar investigación hospitalaria,إضافة تحقيق المستشفى,Ajouter une enquête hospitalière
appLEditHospitalInvestigation,Edit Hospital Investigation,Editar investigación hospitalaria,تحرير تحقيقات المستشفى,Modifier l'enquête hospitalière
appLInvestigation,Investigation,Investigación,تحقيق,Enquête
appLRegularPrice,Regular Price,Precio Regular,السعر العادي,Prix ​​régulier
appLPackageTitle,Package Title,Título del paquete,عنوان الحزمة,Titre du paquet
appLDoctors,Doctors,doctores,الأطباء,Médecins
appLDoctorName,Doctor Name,Nombre del médico,اسم الطبيب,Nom du médecin
appLDoctorAdd,Doctor Add,Médico Agregar,إضافة دكتور,Docteur Ajouter
appLClick,click,hacer clic,انقر,cliquez
appLStatistics,Statistics,Estadística,إحصائيات,Statistiques
appLAddDepartment,Add Department,Agregar departamento,إضافة قسم,Ajouter un département
appLToSelect,to select,para seleccionar,لتحديد,sélectionner
appLDropYourFile,Drop your file Or,Deja tu archivo o,قم بإسقاط الملف الخاص بك أو,Déposez votre fichier Ou
appLTotalBranch,Total Branch,Sucursal total,فرع المجموع,Total Branche
appLTotalDoctors,Total Doctors,Doctores totales,مجموع الأطباء,Total Médecins
appLTotalDepartments,Total Departments,Departamentos totales,مجموع الأقسام,Total des départements
appLTotalServiceBooking,Total Service Booking,Reserva de servicio total,إجمالي حجز الخدمة,Réservation totale du service
appLTotalService,Total Service,Servicio total,الخدمة الشاملة,Service total
appLTotalBalance,Total Balance,Saldo Total,الرصيد الإجمالي,Solde total
appLTwoFa,2FA,2FA,2FA,2FA
appLTotalHospital,Total Hospital,Total Hospitalario,مستشفى توتال,Hôpital total
appLHospitalOfflineWallets,Offline Wallets,Carteras sin conexión,محافظ غير متصل,Portefeuilles hors ligne
appLOverview,Overview,Descripción general,ملخص,Aperçu
appLSeeAll,See all,Ver todo,شاهد الكل,Voir tout
appLBookingRequest,Booking Request,Solicitud de reserva,طلب الحجز,Demande de réservation
appLWelcomeBack,Welcome Back,Bienvenido de nuevo,مرحبًا بعودتك,Content de te revoir
appLComplete,Complete,Completo,مكتمل,Complet
appLOngoing,Ongoing,En curso,مستمر,En cours
appLRejected,Rejected,Rechazado,مرفوض,Rejeté
appLDepartmentName,Department Name,Nombre del departamento,اسم القسم,Nom du département
appLEditDepartment,Edit Department,Editar departamento,قسم التحرير,Modifier le département
appLExRate,Exchange Rate,Tipo de cambio,سعر الصرف,Taux de change
appLWithdrawAmount,Withdraw Amount,Retirar cantidad,سحب المبلغ,Montant du retrait
appLReceivingGateway,Receiving Gateway,Puerta de enlace receptora,بوابة الاستلام,Passerelle de réception
appLVisitType,Visit Type,Tipo de visita,نوع الزيارة,Type de visite
appLShift,Shift,Cambio,يحول,Changement
appLSelectDepartments,Select Departments,Seleccionar Departamentos,اختر الأقسام,Sélectionnez les départements
appLDoctorTitle,Doctor Title,Título del médico,لقب دكتور,Titre du docteur
appLDoctorQualification,Doctor Qualification,Calificación del médico,مؤهل الطبيب,Diplôme de docteur
appLDoctorSpecialty,Doctor Specialty,Especialidad Médica,تخصص دكتور,Spécialité Docteur
appLDoctorSDesignation,Doctor Designation,Designación del médico,تعيين الطبيب,Désignation du médecin
appLDoctorSContact,Doctor Contact,Contacto médico,الاتصال بالطبيب,Contact Médecin
appLDoctorOffDay,Doctor Off Days,Días libres del médico,أيام عطلة الطبيب,Jours de congé du médecin
appLDoctorFloorNumber,Doctor Floor Number,Número de piso del médico,رقم طابق الطبيب,Numéro d'étage du médecin
appLDoctorRoomNumber,Doctor Room Number,Número de habitación del médico,رقم غرفة الطبيب,Numéro de chambre du médecin
appLDoctorAddress,Doctor Address,Dirección del médico,عنوان الطبيب,Adresse du médecin
appLDoctorFess,Doctor Fess,doctor fess,دكتور فيس,Docteur Fess
appLDay,Day,Día,يوم,Jour
appLDepartment,Department,Departamento,قسم,Département
appLSelectDepartment,Select Department,Seleccionar Departamento,اختر القسم,Sélectionnez un département
appLFromTime,From Time,Del tiempo,من الزمن,Du temps
appLToTime,To Time,Al tiempo,إلى الوقت,Au temps
appLMaxPatient,Max Patient,Paciente máximo,ماكس المريض,Patient maximum
appLAddSchedule,Add Schedule,Agregar horario,إضافة الجدول الزمني,Ajouter un horaire
appLLimit,Limit,Límite,حد,Limite
appLClose,Close,Cerca,يغلق,Fermer
appLSaveDoctor,Save Doctor,salvar doctor,أنقذ الطبيب,Sauver le docteur
appLPaymentMethod,Payment Method,Método de pago,طريقة الدفع,Mode de paiement
appLTotalPayable,Total Payable,Total a pagar,مجموع المستحق الدفع,Total à payer
appLAccept,Accept,Aceptar,يقبل,Accepter
appLHomeService,Home Service,Servicio a domicilio,خدمة منزلية,Service à domicile
appLWithdraw,Withdraw,Retirar,ينسحب,Retirer
appLWithdrawLogs,Withdraw Logs,Retirar registros,سحب السجلات,Retirer les journaux
appLWithdrawMoney,Withdraw Money,Retirar dinero,سحب الأموال,Retirer de l'argent
appLAddInvestigation,Add Investigation,Agregar investigación,إضافة التحقيق,Ajouter une enquête
appLCancel,Cancel,Cancelar,يلغي,Annuler
appLHomeServiceRequest,Home Service Request,Solicitud de servicio a domicilio,طلب خدمة منزلية,Demande de service à domicile
appLSummary,Summary,Resumen,ملخص,Résumé
appLWillGet,Will Get,obtendrá,سوف تحصل,obtiendra
appLOptional,Optional,Opcional,خياري,Facultatif
appLUpdateProfile,Update Profile,Actualizar perfil,تحديث الملف الشخصي,Mettre à jour le profil
appLHospitalInvestigation,Hospital Investigation,Investigación hospitalaria,تحقيقات المستشفى,Enquête à l'hôpital
appLHospitalHealthPackage,Hospital Health Package,Paquete de salud hospitalaria,الحزمة الصحية للمستشفى,Forfait Santé Hospitalière
appLAddDoctor,Add Doctor,Agregar médico,أضف دكتور,Ajouter un médecin
appLBranch,Branch,Rama,فرع,Bifurquer
appLEditBranch,Edit Hospital Branch,Editar sucursal del hospital,تحرير فرع المستشفى,Modifier la branche de l'hôpital
